team,P_champion,P_final
Spain,0.5627,1.0
Argentina,0.39755,0.84995
England,0.02605,0.08735
Colombia,0.0137,0.0627
Australia,0.0,0.0
Ecuador,0.0,0.0
Turkey,0.0,0.0
Haiti,0.0,0.0
Egypt,0.0,0.0
Saudi Arabia,0.0,0.0
Czech Republic,0.0,0.0
Ghana,0.0,0.0
Germany,0.0,0.0
Cape Verde,0.0,0.0
Morocco,0.0,0.0
Sweden,0.0,0.0
United States,0.0,0.0
Mexico,0.0,0.0
Uruguay,0.0,0.0
Curaçao,0.0,0.0
Scotland,0.0,0.0
Portugal,0.0,0.0
Belgium,0.0,0.0
Algeria,0.0,0.0
Switzerland,0.0,0.0
France,0.0,0.0
Iran,0.0,0.0
Netherlands,0.0,0.0
Croatia,0.0,0.0
Bosnia and Herzegovina,0.0,0.0
Uzbekistan,0.0,0.0
Jordan,0.0,0.0
Japan,0.0,0.0
Ivory Coast,0.0,0.0
South Africa,0.0,0.0
Qatar,0.0,0.0
Tunisia,0.0,0.0
South Korea,0.0,0.0
Panama,0.0,0.0
Iraq,0.0,0.0
Paraguay,0.0,0.0
Norway,0.0,0.0
DR Congo,0.0,0.0
Senegal,0.0,0.0
Canada,0.0,0.0
Brazil,0.0,0.0
New Zealand,0.0,0.0
Austria,0.0,0.0
